verifica,scarto_massimo,differenza,ic_basso,ic_alto,quota_peggiore
determinismo con s0,0.0,,,,
determinismo senza s0,0.0,,,,
semi con-senza s0,,-0.00026776100388234853,-0.0005389128948669258,-6.501625502099091e-06,0.0225
semi con-senza s1,,-0.0002615623962479192,-0.000527633305989856,6.4896564749800884e-06,0.0283
semi con-senza s2,,-0.00016332651489603495,-0.0003798516208283676,5.6041032717141904e-05,0.0686
semi con-senza s3,,-0.0002245566907751554,-0.0004528204530915254,1.4939688655809035e-06,0.0255
semi con-senza s4,,-0.0003190338628904851,-0.0005604059180666005,-7.399009938474428e-05,0.005
simmetria simm-senza s0,,-0.00023568760798253776,-0.00043555085420329885,-3.769281788176925e-05,0.0101
simmetria simm-senza s1,,-0.00031894486585147145,-0.0005441828228068281,-9.624116958955737e-05,0.0017
simmetria simm-senza s2,,-0.00020425276219145492,-0.000391964748682273,-1.3941147795559615e-05,0.0169
simmetria simm-senza s3,,-0.0003202921675821202,-0.0005187497842936942,-0.00012639015771805708,0.0007
simmetria simm-senza s4,,-0.00022244841028899983,-0.000430164158318699,-1.678956495209152e-05,0.0166
media5 con-senza,,-0.00024713489747045584,-0.00047119899558202566,-2.0619219933949606e-05,0.0159
media5 simmetrico-senza,,-0.00026031139918654124,-0.0004393858063114182,-8.324826347112094e-05,0.0021
media5 simmetrico-con,,-1.3176501716085443e-05,-0.00013364598650485727,0.00011198107573597347,0.4104
media5 con-mercato,,-0.0001080281830630475,-0.000810295705937382,0.0005728458002101769,0.3839
media5 simmetrico-mercato,,-0.00012120468477913296,-0.0008197881506283212,0.0005644927286571812,0.3704
