home_team,away_team,intensity
Inter,Milan,city
Lazio,Roma,city
Genoa,Sampdoria,city
Juventus,Torino,city
Chievo,Verona,city
Atalanta,Brescia,regional
Atalanta,Como,regional
Atalanta,Cremonese,regional
Atalanta,Inter,regional
Atalanta,Milan,regional
Atalanta,Monza,regional
Brescia,Como,regional
Brescia,Cremonese,regional
Brescia,Inter,regional
Brescia,Milan,regional
Brescia,Monza,regional
Como,Cremonese,regional
Como,Inter,regional
Como,Milan,regional
Como,Monza,regional
Cremonese,Inter,regional
Cremonese,Milan,regional
Cremonese,Monza,regional
Inter,Monza,regional
Milan,Monza,regional
Bologna,Cesena,regional
Bologna,Parma,regional
Bologna,Sassuolo,regional
Bologna,Spal,regional
Cesena,Parma,regional
Cesena,Sassuolo,regional
Cesena,Spal,regional
Parma,Sassuolo,regional
Parma,Spal,regional
Sassuolo,Spal,regional
Empoli,Fiorentina,regional
Empoli,Pisa,regional
Fiorentina,Pisa,regional
Benevento,Napoli,regional
Benevento,Salernitana,regional
Napoli,Salernitana,regional
Venezia,Verona,regional
Chievo,Venezia,regional
Genoa,Spezia,regional
Sampdoria,Spezia,regional
Frosinone,Lazio,regional
Frosinone,Roma,regional
Inter,Juventus,rivalry
Juventus,Milan,rivalry
Juventus,Napoli,rivalry
Juventus,Roma,rivalry
Fiorentina,Juventus,rivalry
Inter,Napoli,rivalry
Napoli,Roma,rivalry
Lazio,Napoli,rivalry
